x y obj1 obj2
2.4689919356 0.595000219903 -10.095921178 4.21995343565
3.91759214665 -2.79737010547 -31.3475282275 19.6771596409
4.69257652985 -0.489541184038 -47.0202744885 32.2499683691
4.01694759005 -3.02437774791 -32.1358679412 20.068077581
4.95384103617 3.02737314441 -49.5405410117 33.725176867
4.3663842183 -3.16683711441 -35.0653111418 21.5997742686
2.77941263406 -3.0187281593 -16.7251345904 9.60748405414
3.41055850189 2.02124928131 -20.6319092948 10.9896752872
3.58421477111 -4.2678824189 -28.8465955254 18.509736441
4.94786094407 0.969188149182 -49.4813279219 33.6898841456
3.46219948457 -0.851311889908 -20.986825271 11.1380273327
4.97733272612 -2.62822058928 -49.7738410665 33.864510162
3.81081355888 -0.514098258697 -30.5222999805 19.279045745
4.96263322712 -3.01676702653 -49.6277285469 33.7771956384
4.81112701054 4.88755334553 -48.1469431115 32.9024350694
3.00926892595 -0.840035058964 -18.0556994687 10.0186237649
4.84048200282 -1.22473646869 -48.4302660196 33.0683380083
4.40398663211 0.6875989304 -35.3950982558 21.7791517274
4.69946348144 -0.452221113186 -47.0849570134 32.2871030876
2.39993002598 2.17511290176 -9.75966412961 4.15994402568
3.8653475345 -0.162494600887 -30.9409115625 19.4795214245
4.52145844786 -2.69380427067 -45.4435864957 31.3577527043
4.92937813776 -2.79001710995 -49.298768825 33.581256274
3.92064110198 -0.768755531176 -31.3714266505 19.6888622426
4.07115519384 2.17535168258 -32.5743046124 20.289683837
4.62406340526 1.76249430291 -46.3819623759 31.8857087548
2.48974550241 0.672068059457 -10.1988326668 4.23985065713
2.61590402347 3.19288539523 -15.84295386 9.37933776612
4.94907015771 2.84214455118 -49.4932954259 33.6970147951
4.59335575216 0.567178752766 -46.0989170659 31.7254940573
3.96182981226 -1.49202825511 -31.6960954613 19.8487762123
3.89426847587 -0.094372620191 -31.1653269622 19.5882530587
3.84384169851 -0.802146851632 -30.7751190032 19.3997522092
4.28602696046 0.0526514562422 -34.3700271058 21.2259192639
3.67907453058 2.21804979016 -29.5355894015 18.8192912792
2.3738629389 0.0155731026554 -9.63522525267 4.13977349708
4.39751803094 -1.40739423484 -35.3381648324 21.7480927087
4.52962824598 -1.44479165469 -45.5175320468 31.3990190629
3.56460817823 -0.75719579257 -28.7064314643 18.4479987514
4.45144453073 -3.60709081604 -35.8153584102 22.0095802873
4.90974474929 -3.5681699865 -49.1055935032 33.466614506
4.76342212636 -0.260429241347 -47.6901903539 32.6365018485
3.1113620098 2.04122241285 -18.680573556 10.2351255168
4.99590615276 0.672068059457 -49.9590782872 33.9754536762
4.26861854719 -0.168804010648 -34.2211043014 21.1466301126
4.26521006954 1.4434530482 -34.1920169373 21.1311766592
3.88100371903 1.17588973748 -31.0621898671 19.538174991
3.6411877765 2.17683979477 -29.2582484237 18.6934973177
3.1648790087 -0.0310972693914 -19.0164591397 10.3569431049
4.49799082689 4.12487970302 -36.2319214788 22.2399581713
3.39208259058 -0.556184037586 -20.5062243013 10.937893939
3.64836111002 -4.11408844359 -29.3105387891 18.717094349
3.48887992457 -4.42891973383 -21.1722831281 11.2167634298
3.19902606682 0.62975339172 -19.2337677762 10.4376635089
4.32538663944 1.73876794237 -34.7089695806 21.4074230229
4.25137510372 -0.226355344421 -34.0741902725 21.0686898577
4.27581272731 1.86135929864 -34.282574479 21.1793235698
3.59360187339 -2.25854925538 -28.9139744244 18.5395669309
4.1395428098 1.59206861844 -33.1358146742 20.577643435
3.90171897775 -0.173994207348 -31.2234109813 19.6165350703
3.81867231605 -2.49172582048 -30.5822582574 19.3075689932
4.30154554659 -0.239430073413 -34.5032940894 21.297111903
3.14343498503 0.330765322624 -18.8811835051 10.307443565
3.49286900125 -0.472306620405 -21.2001338599 11.2286578549
3.82692315396 -4.65509479324 -30.6453408263 19.3376482105
2.91093961746 -1.09330317289 -17.4735694565 9.82981098667
3.26882208337 -1.19629717713 -19.6851978127 10.6099094792
4.46549987282 -1.29257624045 -35.9406891142 22.0786896229
4.93406198299 -0.881041862156 -49.344967652 33.60871972
4.88047919657 -3.93295873508 -48.8190771882 33.2971604019
3.2837488812 -0.75404744941 -19.7830067148 10.64801119
3.3108160069 1.27929540585 -19.9615026315 10.7182386039
2.82238461627 -1.63608852055 -16.9658549221 9.67631645707
4.78371849141 4.55257722862 -47.883962605 32.7490886394
2.57224353672 -0.344086774938 -15.6164368122 9.32746266532
2.17252859547 4.43896378843 -8.71988049814 4.02976611626
3.37433568164 -0.572757237957 -20.3861412924 10.8887985658
4.84934607983 0.475069842179 -48.5161574019 33.1187730826
4.66220631722 3.09738867872 -46.7361677443 32.0873424754
4.02176656505 3.13242393956 -32.1746063037 20.0875400435
4.12504436661 0.475069842179 -33.0159910265 20.51581356
4.31894319815 2.43454974085 -34.6532703488 21.3774975562
3.35838529709 -1.38688352074 -20.2787518037 10.8452106153
4.64487510725 -3.14567655049 -46.574864762 31.995364333
4.35558237819 1.687647639 -34.9710978532 21.5487683404
4.64713189976 4.4581330124 -46.5958348937 32.0073072947
4.12837889957 2.84214455118 -33.0435123384 20.5299967401
2.64021521379 -1.50560033739 -15.9707363751 9.40987551997
4.65002582168 -3.54171970127 -46.6227401422 32.0226368555
3.13458084318 3.19370767292 -18.8255970624 10.2872736897
3.9894196412 -0.070446870539 -31.9154690736 19.9577905088
2.76130427787 -2.50986795659 -16.624801315 9.5795842035
4.35979515532 -0.134044896144 -35.0078137964 21.5686331751
2.59117087526 -1.29731647817 -15.7141665048 9.34948300376
4.49364595103 -3.01479815447 -36.1928539332 22.2182701291
